SG:HS:LC,SG:LS:LC,SG:MS:LC,SG:LS:MC,SG:MS:MC,SG:HS:MC,SG:LS:HC,SG:MS:HC,SG:HS:HC,SG:VHS:LC,SG:VHS:MC,SG:VHS:HC
55.665,57.33,57.71,122.505,130.72,128.4,262.64,269.825,249.815,56.405,130.605,265.945
56.865,57.765,58.005,123.8,130.555,129.005,263.77,267.085,257.64,56.115,133.905,260.955
56.82,57.055,57.985,124.205,130.85,125.28,251.68,262.21,259.01,56.6,130.385,261.845
56.835,56.68,56.57,121.765,130.38,127.27,266.775,262.035,257.355,57.71,130.69,258.275
56.535,56.27,57.565,122.79,127.675,128.465,262.64,257.345,259.74,56.995,129.65,270.525
56.995,57.485,57.425,127.34,130.505,126.635,252.085,263.31,256.38,56.345,129.89,257.815
57.055,56.98,59.14,121.645,130.735,125.355,252.81,257.145,255.06,54.845,131.38,259.03
56.505,57.21,57.165,120.005,128.16,124.2,265.155,261.2,268.415,55.575,131.085,260.31
56.765,57.19,58.35,124.76,128.73,128.44,255.96,258.33,259.745,56.525,131.22,261.56
57.065,58.075,57.105,124.28,130.675,128.26,253.79,256.41,255.055,56.3,130.54,256.81
57.215,58.885,57.26,124.845,128.315,126.145,250.265,257.155,253.635,56.005,132.09,258.14
57.08,57.025,56.74,123.825,129.17,126.565,258.76,260.435,259.605,57.085,130.165,260.615
56.31,57.375,57.17,123.335,127.77,123.81,260.125,259.185,255.28,56.86,132.595,261.14
56.125,55.745,58,123.145,130.72,125.8,258.56,255.315,258.135,55.805,134.53,255.545
55.81,56.3,56.42,122.96,127.485,126.545,256.47,262.05,252.585,56.54,129.145,257.895
55.955,56.825,56.7,122.07,131.295,125.625,251.665,261.725,252.775,56.105,130.595,258.47
57,57.115,56.22,121.41,132.21,126.62,257.36,258.66,256.505,55.2,129.815,260.37
57.155,57.38,57.815,121.285,129.135,125.87,257.13,254.44,249.69,56.075,130.23,260.53
55.84,56.175,57.375,121.295,128.93,124.095,252.07,263.66,254.44,58.01,129.53,260.57
55.08,55.61,56.48,120.225,129.595,124.175,257.485,264.63,254.985,56.535,133.64,259.035
54.72,56.05,55.195,121.005,129.005,124.735,257.705,258.625,255.565,56.195,129.715,256.875
55.72,54.675,56.06,124.96,130.605,126.495,257.865,255.71,253.7,55.635,132.95,255.9
55.72,55.705,56.45,119.815,127.365,125.97,254.455,256.635,249.91,55.065,130.885,257.945
55.94,56.19,55.84,124.25,129.275,126.86,250.095,261.675,255.175,55.65,132.02,254.935
56.665,57.485,56.52,119.695,131.29,125.77,245.395,261.02,255.16,55.78,128.215,257.595
55.355,56.62,57.615,120.12,125.855,125.81,254.145,254.445,249.29,55.555,129.985,254.535
55.105,55.655,56.17,120.625,126.165,123.62,254.645,257.225,250.905,55.46,129.49,254.915
55.625,55.475,57.135,120.81,128.6,127.35,253.435,258.27,249.745,55.57,131.7,253.955
54.9,57.42,56.11,119.48,126.28,120.91,252.44,261.365,255.87,56.5,130.1,257.55
55.84,55.075,55.605,121.115,123.59,124.075,249.335,252.84,247.045,55.45,132.875,256.69
55.92,54.64,55.735,123.615,126.225,124.945,255.84,257.62,257.675,56.15,128.455,256.755
55.995,56.745,56.135,119.505,125.795,124.845,251.895,257.97,252.835,55.25,129.045,255.59
55.455,55.64,56.03,120.41,127.175,124.56,253.475,253.61,251.64,55.75,128.28,254.755
54.79,55.745,55.975,119.785,128.49,126.64,257.095,255.725,251.985,55.995,130.185,254.505
55.51,55.315,57.735,119.455,129.515,126.41,252.72,249.29,248.955,54.755,130.435,255.175
53.765,54.98,57.25,122.285,127.34,124.33,256.645,256.15,246.465,55.085,128.26,254.56
55.45,54.735,56.26,117.7,128.345,123.06,256.82,257.825,252.14,54.8,128.815,252.175
55.525,55.57,58.31,122.415,126.285,125.91,252.745,254.42,251.68,54.825,129.925,254.625
54.825,55.03,55.325,118.345,127.58,124.28,248.085,254.48,256.285,56.35,126.46,254.08
55.18,56.48,57.085,118.81,128.16,123.415,252.46,252.32,251.69,55.48,131.54,252.895
54.185,56.525,56.43,122.045,125.665,124.57,250.395,255.84,250.125,54.605,128.055,253.375
54.92,55.43,56.775,119.21,126.825,125.835,252.16,255.275,253.385,54.835,124.255,257.455
54.55,56.43,54.5,121.015,126.015,123.995,254.925,255.17,252.52,54.105,128.295,252.69
55.295,55.205,55.56,118.855,124.22,125.67,254.17,258.39,248.305,55.255,130.02,253.67
55.79,55.855,55.335,119.105,126.72,122.225,250.525,253.01,250.09,55.17,129.445,253.225
54.94,54.64,55.22,119.01,126.995,124.105,254.11,255.595,245.355,55.33,128.54,253.835
54.575,55.935,54.21,120.395,126.895,120.495,250.28,249.745,250.355,55.73,126.6,253.185
54.835,55.02,57.085,117.43,124.08,124.295,242.955,253.925,246.775,54.905,127.735,257.16
55.135,55.545,54.28,117.555,125.84,122.53,250.365,257.755,250.87,53.805,127.48,253.98
54.62,54.3,54.355,119.865,127.475,126.275,254.67,250.255,250.24,54.385,126.42,252.505
54.765,55.995,55.96,119.075,126.84,125.8,259.235,248.975,248.5,55.695,129.245,254.025
53.405,55.72,55.49,120.42,129.835,122.505,250.16,248.17,248.765,54.71,126.975,254.765
