G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
52.94865695,50.07867499,54.165,126.375,118.825,104.87,246.395,235.78,236.98,52.24,118.78,231.74
51.65262778,48.98613545,53.67,123.915,116.87,102.52,248.275,227.39,234.705,53.49,119.415,231.34
51.94502943,48.57691274,52.92,125.73,115.54,104.105,248.97,231.175,233.38,51.82,117.89,231.835
52.45053251,49.79782173,52.965,124.325,114.09,104.32,240.93,229.725,233.345,53.1,117.485,231.275
52.66710412,48.91050144,53.275,120.87,116.02,103.715,250.35,228.14,237.01,52.245,118.31,228.235
53.21348728,48.06485951,53.155,123.875,116.125,103.945,242.675,225.63,236.075,51.435,118.9,227.25
53.91262733,50.11947932,52.635,119.9,118.915,104.52,254.9,232.785,233.71,52.525,117.95,226.775
51.38573281,48.81802688,52.63,123.04,117.775,101.19,237.11,228.855,233.705,52.145,116.1,228.17
52.13605465,49.66009053,53.585,120.89,113.955,99.625,238.15,227.145,231.225,51.425,117.47,226.865
52.19453879,49.58491224,51.66,123.57,115.895,101.595,248.665,230.45,231.55,52.08,117.635,229.87
51.15596378,48.5728848,53.705,122.61,116.18,102.445,239.18,228.565,229.5,51.51,120.29,223.465
50.84092997,48.66403345,51.585,122.565,112.835,102.88,243.555,226.485,234.125,52.44,117.15,224.375
52.5873141,48.67585666,50.95,119.435,114.5,98.94,234.645,225.315,234.075,51.385,115.15,221.74
52.46495298,48.194369,51.98,117.595,114.34,101.715,239,224.385,227.56,50.945,116.085,221.815
51.48147576,47.90393103,52.11,118.795,115.265,99.89,236.59,225.98,229.575,52.495,115.63,225.38
51.21294656,47.61201033,51.525,116.245,115.41,98.2,237.275,224.455,231.52,51.55,117.35,224.255
51.04113338,48.19772464,50.935,119.925,116.715,100.955,241.745,222.99,228.98,50.875,116.28,221.205
52.82318597,49.8195585,52.17,118.09,110.52,101.475,235.905,220.06,229.39,51.44,114.58,224.1
52.57772061,49.76014554,51.6,118.035,115.355,100.285,238.86,226.83,233.29,51.31,116.765,224.535
51.21842496,47.60192599,51.21,118.95,113.26,100.55,235.73,222.47,226.98,51.92,118.06,218.675
49.77765232,48.27974321,51.435,120.235,114.445,97.92,236.97,223.545,232.545,51.425,118.215,225.845
50.51725545,47.06363161,51.385,118.675,114.355,99.8,233.45,225.1,231.54,50.035,116.84,223.705
51.19188849,47.31122678,52.23,117.625,116.565,98.9,246.26,219.685,229.63,51.25,115.365,221.445
50.79327118,47.33733022,51.46,119.555,115.775,98.645,238.215,222.91,225.825,50.96,116.56,222.615
51.88931564,47.84160758,50.68,117.995,113.005,99.48,241.015,224.645,225.915,51.35,116.155,218.84
50.68583386,47.6691232,51.7,115.835,112.435,100.145,237.59,223.35,221.69,49.99,116.595,222.015
51.12824151,48.20463097,50.735,116.08,109.815,101.35,235.455,222.415,228.33,51,113.67,219.245
50.61998492,47.12056044,51.28,112.995,113.725,98.335,235.705,217.77,225.95,49.985,114.355,219.51
51.46816598,47.54359297,50.385,115.39,114.035,99.495,231.825,222.54,223.12,50,113.34,217.56
49.18624273,47.27485811,50.32,118.37,112.6,99.14,238.51,222.865,223.7,51.6,116.72,220.01
50.07598857,48.2167071,50.5,116.67,109.575,97.575,237.48,223.215,224.22,50.365,113.01,218.06
49.73801301,47.72065717,50.16,115.215,112.345,96.845,240.71,220.915,225.965,50.57,113.995,220.26
49.68541353,47.72715509,51.97,117.62,109.62,96.08,231.3,216.66,221.7,50.715,115.545,216.58
50.09713335,46.50702311,49.755,113.655,109.15,99.825,230.44,218.675,223.495,51.49,114.89,214.49
48.97315758,46.59651834,49.93,114.245,109.45,99.625,239.755,218.905,217.745,50.89,115.035,222.22
49.31121699,46.14205403,51.115,114.225,113.18,97.23,234.205,215.21,221.025,49.8,117.2,215.77
49.13595181,46.41945274,49.435,114.4,109.395,98.33,231.85,221.63,223.51,49.315,113.805,215.53
49.32417718,46.48111008,50.99,114.765,107.405,96.27,231.79,221.91,225.03,50.83,116.77,216.835
49.32471605,46.72026628,51.39,119.445,109.38,96.18,229.24,215.755,219.19,50.65,115.99,218.23
49.01381858,46.78228053,49.72,117.7,109.205,98.76,233.945,216.4,220.01,49.31,114.29,219.565
48.87195728,46.53928342,50.11,112.94,109.09,97.285,232.67,217.16,224.025,49.345,113.005,216.965
49.29534544,47.04065534,50.715,116.13,109.735,96.53,230.75,214.85,219.66,49.105,111.7,218.155
48.70416697,45.72687846,50.31,114.375,109.395,96.52,232.28,217.245,217.52,48.82,113.195,217.87
48.05333792,45.74639229,50.33,113.96,111.445,99.7,232.975,215.99,224.225,49.525,113.53,218.915
49.92844071,46.11619384,50.56,115.09,111.41,97.735,236.425,218.685,219.98,49.91,113.385,218.87
50.02876553,45.25477396,51.005,116.325,110.385,99.16,230.235,216.94,222.92,49.53,111.37,215.74
48.67168734,46.64265677,50.01,116.175,109.285,99.12,235.575,219.49,224.51,48.9,113.315,218.145
